"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","LeBron James",9400,"Dal@Cle 07:30PM ET",52.375,"Cle"
"SG/SF","Jimmy Butler",9300,"Chi@Phi 07:30PM ET",43.867,"Chi"
"PG","John Wall",8800,"Was@Orl 07:00PM ET",46.455,"Was"
"PG","Chris Paul",8300,"LAC@Det 07:30PM ET",44.422,"LAC"
"PF","Blake Griffin",8200,"LAC@Det 07:30PM ET",43.141,"LAC"
"SF","Kawhi Leonard",8100,"SA@Bos 01:00PM ET",43.383,"SA"
"PG","Kemba Walker",7900,"Cha@NY 07:30PM ET",42.786,"Cha"
"PF/C","Kevin Love",7800,"Dal@Cle 07:30PM ET",41.500,"Cle"
"PF","Kristaps Porzingis",7700,"Cha@NY 07:30PM ET",36.036,"NY"
"PG","Kyrie Irving",7600,"Dal@Cle 07:30PM ET",37.577,"Cle"
"SF","Carmelo Anthony",7500,"Cha@NY 07:30PM ET",35.839,"NY"
"PG","Isaiah Thomas",7400,"SA@Bos 01:00PM ET",40.983,"Bos"
"C","Andre Drummond",7300,"LAC@Det 07:30PM ET",39.600,"Det"
"SG/SF","Nicolas Batum",6600,"Cha@NY 07:30PM ET",33.179,"Cha"
"SG","Dwyane Wade",6600,"Chi@Phi 07:30PM ET",32.161,"Chi"
"C","Al Horford",6500,"SA@Bos 01:00PM ET",37.833,"Bos"
"PF/C","LaMarcus Aldridge",6400,"SA@Bos 01:00PM ET",33.154,"SA"
"SG","Bradley Beal",6400,"Was@Orl 07:00PM ET",30.775,"Was"
"PG","Rajon Rondo",6300,"Chi@Phi 07:30PM ET",28.981,"Chi"
"C","DeAndre Jordan",6200,"LAC@Det 07:30PM ET",31.000,"LAC"
"SF","Otto Porter",6200,"Was@Orl 07:00PM ET",32.558,"Was"
"SG","Avery Bradley",6100,"SA@Bos 01:00PM ET",36.000,"Bos"
"C","Joel Embiid",6100,"Chi@Phi 07:30PM ET",34.091,"Phi"
"PG","Reggie Jackson",6000,"LAC@Det 07:30PM ET",0,"Det"
"PF/C","Serge Ibaka",6000,"Was@Orl 07:00PM ET",26.617,"Orl"
"SF/PF","Harrison Barnes",6000,"Dal@Cle 07:30PM ET",31.589,"Dal"
"C","Marcin Gortat",5900,"Was@Orl 07:00PM ET",32.827,"Was"
"C","Pau Gasol",5800,"SA@Bos 01:00PM ET",28.333,"SA"
"PG","Elfrid Payton",5800,"Was@Orl 07:00PM ET",27.333,"Orl"
"PG","Derrick Rose",5800,"Cha@NY 07:30PM ET",28.964,"NY"
"PF/C","Taj Gibson",5800,"Chi@Phi 07:30PM ET",26.867,"Chi"
"C","Nikola Vucevic",5700,"Was@Orl 07:00PM ET",31.250,"Orl"
"C","Robin Lopez",5700,"Chi@Phi 07:30PM ET",24.583,"Chi"
"SF/PF","Tobias Harris",5500,"LAC@Det 07:30PM ET",27.016,"Det"
"SG","Evan Fournier",5500,"Was@Orl 07:00PM ET",27.400,"Orl"
"SG","Seth Curry",5400,"Dal@Cle 07:30PM ET",19.821,"Dal"
"SF/PF","Markieff Morris",5300,"Was@Orl 07:00PM ET",26.000,"Was"
"SG/SF","Marcus Smart",5200,"SA@Bos 01:00PM ET",25.396,"Bos"
"PF","Dirk Nowitzki",5200,"Dal@Cle 07:30PM ET",24.250,"Dal"
"SF","Jae Crowder",5000,"SA@Bos 01:00PM ET",24.393,"Bos"
"SG","Kentavious Caldwell-Pope",5000,"LAC@Det 07:30PM ET",24.688,"Det"
"C","Nerlens Noel",5000,"Chi@Phi 07:30PM ET",0,"Phi"
"PG","Ish Smith",4900,"LAC@Det 07:30PM ET",24.969,"Det"
"PG","Deron Williams",4900,"Dal@Cle 07:30PM ET",23.542,"Dal"
"C","Tristan Thompson",4900,"Dal@Cle 07:30PM ET",23.942,"Cle"
"SG","J.J. Redick",4800,"LAC@Det 07:30PM ET",21.781,"LAC"
"SF","Marcus Morris",4800,"LAC@Det 07:30PM ET",24.781,"Det"
"SF/PF","Nikola Mirotic",4800,"Chi@Phi 07:30PM ET",21.317,"Chi"
"SF","Michael Kidd-Gilchrist",4700,"Cha@NY 07:30PM ET",25.231,"Cha"
"SF/PF","Aaron Gordon",4600,"Was@Orl 07:00PM ET",21.550,"Orl"
"SG","Wesley Matthews",4600,"Dal@Cle 07:30PM ET",24.327,"Dal"
"PF","Frank Kaminsky",4600,"Cha@NY 07:30PM ET",23.500,"Cha"
"PF","Jon Leuer",4500,"LAC@Det 07:30PM ET",22.625,"Det"
"PF/C","Spencer Hawes",4500,"Cha@NY 07:30PM ET",20.173,"Cha"
"C","Joakim Noah",4400,"Cha@NY 07:30PM ET",23.354,"NY"
"PF","Marvin Williams",4300,"Cha@NY 07:30PM ET",22.411,"Cha"
"SF/PF","Dario Saric",4300,"Chi@Phi 07:30PM ET",21.200,"Phi"
"PF/C","Jahlil Okafor",4300,"Chi@Phi 07:30PM ET",18.214,"Phi"
"PG","Tony Parker",4200,"SA@Bos 01:00PM ET",19.900,"SA"
"PF","Ersan Ilyasova",4200,"Chi@Phi 07:30PM ET",21.900,"Phi"
"C","Bismack Biyombo",4100,"Was@Orl 07:00PM ET",20.000,"Orl"
"SG","J.R. Smith",4000,"Dal@Cle 07:30PM ET",20.325,"Cle"
"SG","Jonathan Gibson",4000,"Dal@Cle 07:30PM ET",22.188,"Dal"
"SG","Marco Belinelli",4000,"Cha@NY 07:30PM ET",19.714,"Cha"
"C","Cody Zeller",4000,"Cha@NY 07:30PM ET",22.750,"Cha"
"PG","Sergio Rodriguez",4000,"Chi@Phi 07:30PM ET",23.617,"Phi"
"SF","Robert Covington",4000,"Chi@Phi 07:30PM ET",22.000,"Phi"
"PG","Patty Mills",3900,"SA@Bos 01:00PM ET",19.783,"SA"
"C","Andrew Bogut",3900,"Dal@Cle 07:30PM ET",21.795,"Dal"
"PG","Brandon Jennings",3900,"Cha@NY 07:30PM ET",20.214,"NY"
"PF/C","Kyle O'Quinn",3900,"Cha@NY 07:30PM ET",12.339,"NY"
"SG","Danny Green",3800,"SA@Bos 01:00PM ET",19.571,"SA"
"PF","David Lee",3800,"SA@Bos 01:00PM ET",16.067,"SA"
"SG","Jamal Crawford",3800,"LAC@Det 07:30PM ET",18.125,"LAC"
"C","Aron Baynes",3800,"LAC@Det 07:30PM ET",11.547,"Det"
"PG","Tomas Satoransky",3800,"Was@Orl 07:00PM ET",12.635,"Was"
"PG","Jerryd Bayless",3800,"Chi@Phi 07:30PM ET",22.750,"Phi"
"PF/C","Kelly Olynyk",3700,"SA@Bos 01:00PM ET",16.444,"Bos"
"PF/C","Marreese Speights",3700,"LAC@Det 07:30PM ET",18.641,"LAC"
"PF/C","Dwight Powell",3700,"Dal@Cle 07:30PM ET",15.946,"Dal"
"SG","Courtney Lee",3700,"Cha@NY 07:30PM ET",17.875,"NY"
"SG","Gerald Henderson",3700,"Chi@Phi 07:30PM ET",18.393,"Phi"
"PF","Amir Johnson",3600,"SA@Bos 01:00PM ET",17.433,"Bos"
"C","Dewayne Dedmon",3600,"SA@Bos 01:00PM ET",13.773,"SA"
"SG/SF","Raymond Felton",3600,"LAC@Det 07:30PM ET",11.297,"LAC"
"PF","Channing Frye",3600,"Dal@Cle 07:30PM ET",19.864,"Cle"
"PG","Jerian Grant",3600,"Chi@Phi 07:30PM ET",12.222,"Chi"
"PG","D.J. Augustin",3500,"Was@Orl 07:00PM ET",15.133,"Orl"
"SG/SF","Kelly Oubre Jr.",3500,"Was@Orl 07:00PM ET",8.604,"Was"
"PG/SG","Iman Shumpert",3500,"Dal@Cle 07:30PM ET",15.885,"Cle"
"C","Salah Mejri",3500,"Dal@Cle 07:30PM ET",10.659,"Dal"
"C","Guillermo Hernangomez",3500,"Cha@NY 07:30PM ET",11.250,"NY"
"SF/PF","Jeff Green",3400,"Was@Orl 07:00PM ET",15.617,"Orl"
"PG","Ramon Sessions",3400,"Cha@NY 07:30PM ET",13.071,"Cha"
"SG","Nik Stauskas",3400,"Chi@Phi 07:30PM ET",16.783,"Phi"
"SG","Manu Ginobili",3300,"SA@Bos 01:00PM ET",16.821,"SA"
"PG","Austin Rivers",3300,"LAC@Det 07:30PM ET",14.656,"LAC"
"SG/SF","Justin Anderson",3300,"Dal@Cle 07:30PM ET",16.839,"Dal"
"SG/SF","Justin Holiday",3300,"Cha@NY 07:30PM ET",13.089,"NY"
"SF","Doug McDermott",3300,"Chi@Phi 07:30PM ET",16.889,"Chi"
"PG","Isaiah Canaan",3200,"Chi@Phi 07:30PM ET",12.500,"Chi"
