"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12000,"OKC@Den 09:00PM ET",63.250,"OKC"
"PG/SG","James Harden",11700,"Hou@Sac 10:30PM ET",60.517,"Hou"
"PF/C","Anthony Davis",10700,"NO@Por 10:00PM ET",56.667,"NO"
"PF/C","DeMarcus Cousins",9900,"Hou@Sac 10:30PM ET",48.767,"Sac"
"SF/PF","Kevin Durant",9600,"GS@LAL 10:30PM ET",50.350,"GS"
"PG","Stephen Curry",9000,"GS@LAL 10:30PM ET",44.400,"GS"
"PG","Damian Lillard",8500,"NO@Por 10:00PM ET",43.912,"Por"
"C","Karl-Anthony Towns",8400,"Min@Pho 09:00PM ET",41.161,"Min"
"PF/C","Draymond Green",7900,"GS@LAL 10:30PM ET",40.067,"GS"
"PG/SG","C.J. McCollum",7300,"NO@Por 10:00PM ET",35.382,"Por"
"SF","Andrew Wiggins",7100,"Min@Pho 09:00PM ET",33.661,"Min"
"SF/PF","Rudy Gay",7000,"Hou@Sac 10:30PM ET",36.321,"Sac"
"PG","Eric Bledsoe",7000,"Min@Pho 09:00PM ET",34.734,"Pho"
"PG","Jrue Holiday",6700,"NO@Por 10:00PM ET",32.938,"NO"
"SG","Victor Oladipo",6600,"OKC@Den 09:00PM ET",28.453,"OKC"
"PF","Julius Randle",6600,"GS@LAL 10:30PM ET",31.017,"LAL"
"PG","D'Angelo Russell",6400,"GS@LAL 10:30PM ET",30.538,"LAL"
"SG/SF","Tyreke Evans",6300,"NO@Por 10:00PM ET",0,"NO"
"SG/SF","Devin Booker",6300,"Min@Pho 09:00PM ET",28.283,"Pho"
"PF/C","Gorgui Dieng",6200,"Min@Pho 09:00PM ET",28.714,"Min"
"SG","Klay Thompson",6200,"GS@LAL 10:30PM ET",29.817,"GS"
"C","Clint Capela",6000,"Hou@Sac 10:30PM ET",28.217,"Hou"
"PG","Ricky Rubio",6000,"Min@Pho 09:00PM ET",23.500,"Min"
"SG","Zach LaVine",5900,"Min@Pho 09:00PM ET",29.365,"Min"
"PF","Terrence Jones",5800,"NO@Por 10:00PM ET",24.833,"NO"
"SF","T.J. Warren",5800,"Min@Pho 09:00PM ET",28.846,"Pho"
"SF","Wilson Chandler",5700,"OKC@Den 09:00PM ET",29.904,"Den"
"SF","Danilo Gallinari",5700,"OKC@Den 09:00PM ET",27.786,"Den"
"PG","Tim Frazier",5700,"NO@Por 10:00PM ET",30.625,"NO"
"PG","Emmanuel Mudiay",5600,"OKC@Den 09:00PM ET",27.583,"Den"
"PG/SG","Darren Collison",5600,"Hou@Sac 10:30PM ET",26.429,"Sac"
"SG","Lou Williams",5600,"GS@LAL 10:30PM ET",27.172,"LAL"
"PF","Kenneth Faried",5500,"OKC@Den 09:00PM ET",26.133,"Den"
"SF/PF","Trevor Ariza",5500,"Hou@Sac 10:30PM ET",26.850,"Hou"
"C","Mason Plumlee",5400,"NO@Por 10:00PM ET",27.015,"Por"
"PG/SG","Jordan Clarkson",5400,"GS@LAL 10:30PM ET",24.891,"LAL"
"C","Alex Len",5200,"Min@Pho 09:00PM ET",24.641,"Pho"
"C","Steven Adams",5100,"OKC@Den 09:00PM ET",25.641,"OKC"
