"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11500,"Hou@Por 09:00PM ET",60.109,"Hou"
"PF/C","Anthony Davis",11300,"NO@Dal 07:00PM ET",57.016,"NO"
"PF/C","DeMarcus Cousins",10100,"Sac@Bkn 06:00PM ET",49.172,"Sac"
"PG","Giannis Antetokounmpo",9300,"Mil@Orl 06:00PM ET",48.964,"Mil"
"PG","Damian Lillard",8900,"Hou@Por 09:00PM ET",44.417,"Por"
"PG","Chris Paul",8600,"LAC@Ind 06:00PM ET",43.824,"LAC"
"PF","Blake Griffin",8400,"LAC@Ind 06:00PM ET",42.824,"LAC"
"SF","Paul George",8000,"LAC@Ind 06:00PM ET",39.271,"Ind"
"PG/SG","C.J. McCollum",7500,"Hou@Por 09:00PM ET",35.486,"Por"
"C","Dwight Howard",7400,"Atl@LAL 09:30PM ET",37.417,"Atl"
"PF","Paul Millsap",7300,"Atl@LAL 09:30PM ET",36.922,"Atl"
"PG","Jeff Teague",6900,"LAC@Ind 06:00PM ET",34.441,"Ind"
"SF/PF","Rudy Gay",6800,"Sac@Bkn 06:00PM ET",35.600,"Sac"
"C","Brook Lopez",6700,"Sac@Bkn 06:00PM ET",33.250,"Bkn"
"PF","Julius Randle",6600,"Atl@LAL 09:30PM ET",31.017,"LAL"
"PF/C","Myles Turner",6500,"LAC@Ind 06:00PM ET",31.625,"Ind"
"PG","Jeremy Lin",6400,"Sac@Bkn 06:00PM ET",32.750,"Bkn"
"PG","Jrue Holiday",6400,"NO@Dal 07:00PM ET",32.150,"NO"
"PG","D'Angelo Russell",6400,"Atl@LAL 09:30PM ET",30.538,"LAL"
"SF/PF","Jabari Parker",6300,"Mil@Orl 06:00PM ET",32.607,"Mil"
"SG/SF","Tyreke Evans",6300,"NO@Dal 07:00PM ET",0,"NO"
"C","DeAndre Jordan",6300,"LAC@Ind 06:00PM ET",31.044,"LAC"
"PF/C","Serge Ibaka",6200,"Mil@Orl 06:00PM ET",27.578,"Orl"
"C","Nikola Vucevic",6100,"Mil@Orl 06:00PM ET",32.625,"Orl"
"C","Clint Capela",6000,"Hou@Por 09:00PM ET",28.609,"Hou"
"PG/SG","Jordan Clarkson",5900,"Atl@LAL 09:30PM ET",25.368,"LAL"
"SF/PF","Harrison Barnes",5800,"NO@Dal 07:00PM ET",30.700,"Dal"
"PF","Thaddeus Young",5800,"LAC@Ind 06:00PM ET",25.647,"Ind"
"SF/PF","Trevor Ariza",5700,"Hou@Por 09:00PM ET",27.625,"Hou"
"PG","Tim Frazier",5600,"NO@Dal 07:00PM ET",30.074,"NO"
"C","Mason Plumlee",5600,"Hou@Por 09:00PM ET",27.986,"Por"
"PF","Trevor Booker",5500,"Sac@Bkn 06:00PM ET",29.217,"Bkn"
"PG","Dennis Schroder",5500,"Atl@LAL 09:30PM ET",26.938,"Atl"
"PG","Elfrid Payton",5400,"Mil@Orl 06:00PM ET",27.359,"Orl"
"SG","Lou Williams",5400,"Atl@LAL 09:30PM ET",26.735,"LAL"
"PG/SG","Darren Collison",5300,"Sac@Bkn 06:00PM ET",25.781,"Sac"
"PF","Terrence Jones",5300,"NO@Dal 07:00PM ET",24.422,"NO"
"SG","Evan Fournier",5200,"Mil@Orl 06:00PM ET",27.000,"Orl"
"SG","Seth Curry",5200,"NO@Dal 07:00PM ET",19.900,"Dal"
"PF","Dirk Nowitzki",5100,"NO@Dal 07:00PM ET",24.800,"Dal"
"SF","Maurice Harkless",5100,"Hou@Por 09:00PM ET",23.597,"Por"
"PG/SG","Sean Kilpatrick",5000,"Sac@Bkn 06:00PM ET",24.667,"Bkn"
"PG","J.J. Barea",5000,"NO@Dal 07:00PM ET",30.361,"Dal"
"SG/SF","C.J. Miles",5000,"LAC@Ind 06:00PM ET",21.923,"Ind"
"SG","Monta Ellis",5000,"LAC@Ind 06:00PM ET",24.868,"Ind"
"SF","Glenn Robinson III",5000,"LAC@Ind 06:00PM ET",12.000,"Ind"
"SG/SF","Kent Bazemore",5000,"Atl@LAL 09:30PM ET",22.938,"Atl"
"SG","J.J. Redick",4900,"LAC@Ind 06:00PM ET",22.221,"LAC"
"SG","Eric Gordon",4800,"Hou@Por 09:00PM ET",25.328,"Hou"
"PF","Ryan Anderson",4700,"Hou@Por 09:00PM ET",22.438,"Hou"
"SG","Nick Young",4500,"Atl@LAL 09:30PM ET",21.406,"LAL"
"SG/SF","Bojan Bogdanovic",4400,"Sac@Bkn 06:00PM ET",21.867,"Bkn"
"SF/PF","Aaron Gordon",4400,"Mil@Orl 06:00PM ET",21.375,"Orl"
"PG","Deron Williams",4400,"NO@Dal 07:00PM ET",22.107,"Dal"
"PG","Patrick Beverley",4400,"Hou@Por 09:00PM ET",23.850,"Hou"
"PF","Al-Farouq Aminu",4400,"Hou@Por 09:00PM ET",21.844,"Por"
"SF/PF","Larry Nance Jr.",4400,"Atl@LAL 09:30PM ET",18.453,"LAL"
"SG","Wesley Matthews",4300,"NO@Dal 07:00PM ET",23.589,"Dal"
"SF","Rondae Hollis-Jefferson",4200,"Sac@Bkn 06:00PM ET",18.911,"Bkn"
"SF/PF","Matt Barnes",4100,"Sac@Bkn 06:00PM ET",19.219,"Sac"
"PG/SG","Matthew Dellavedova",4100,"Mil@Orl 06:00PM ET",22.411,"Mil"
"SG","E'Twaun Moore",4100,"NO@Dal 07:00PM ET",21.641,"NO"
"C","Andrew Bogut",4100,"NO@Dal 07:00PM ET",21.792,"Dal"
"SF","Brandon Ingram",4100,"Atl@LAL 09:30PM ET",15.985,"LAL"
"C","Justin Hamilton",4000,"Sac@Bkn 06:00PM ET",17.050,"Bkn"
"C","Bismack Biyombo",4000,"Mil@Orl 06:00PM ET",19.333,"Orl"
"SG/SF","Evan Turner",4000,"Hou@Por 09:00PM ET",18.625,"Por"
"C","Mike Muscala",4000,"Atl@LAL 09:30PM ET",18.813,"Atl"
"SG","Jamal Crawford",3900,"LAC@Ind 06:00PM ET",18.632,"LAC"
"PG","Ty Lawson",3800,"Sac@Bkn 06:00PM ET",20.141,"Sac"
"C","Greg Monroe",3800,"Mil@Orl 06:00PM ET",23.077,"Mil"
"SG","Kyle Korver",3800,"Atl@LAL 09:30PM ET",18.714,"Atl"
"SF/PF","Luol Deng",3800,"Atl@LAL 09:30PM ET",17.324,"LAL"
"SF","Thabo Sefolosha",3800,"Atl@LAL 09:30PM ET",20.654,"Atl"
"SG/SF","Allen Crabbe",3700,"Hou@Por 09:00PM ET",16.000,"Por"
"PG/SG","Rodney Stuckey",3700,"LAC@Ind 06:00PM ET",12.857,"Ind"
"PF/C","Marreese Speights",3700,"LAC@Ind 06:00PM ET",17.956,"LAC"
"C","Ed Davis",3600,"Hou@Por 09:00PM ET",12.444,"Por"
"SG/SF","Raymond Felton",3600,"LAC@Ind 06:00PM ET",11.029,"LAC"
"C","Al Jefferson",3600,"LAC@Ind 06:00PM ET",13.838,"Ind"
"SG/SF","Tony Snell",3500,"Mil@Orl 06:00PM ET",17.327,"Mil"
"C","John Henson",3500,"Mil@Orl 06:00PM ET",14.938,"Mil"
"SG","Jonathan Gibson",3500,"NO@Dal 07:00PM ET",20.300,"Dal"
"PG","Langston Galloway",3400,"NO@Dal 07:00PM ET",18.000,"NO"
"SF","Solomon Hill",3400,"NO@Dal 07:00PM ET",15.559,"NO"
"PF/C","Dwight Powell",3400,"NO@Dal 07:00PM ET",16.033,"Dal"
"PG/SG","Tim Hardaway Jr.",3400,"Atl@LAL 09:30PM ET",16.563,"Atl"
"PG","Jose Calderon",3400,"Atl@LAL 09:30PM ET",11.861,"LAL"
"SG/SF","Joe Harris",3300,"Sac@Bkn 06:00PM ET",15.817,"Bkn"
"PG","D.J. Augustin",3300,"Mil@Orl 06:00PM ET",15.031,"Orl"
"SF/PF","Michael Beasley",3300,"Mil@Orl 06:00PM ET",14.054,"Mil"
"SG/SF","Justin Anderson",3300,"NO@Dal 07:00PM ET",16.867,"Dal"
"PF/C","Montrezl Harrell",3300,"Hou@Por 09:00PM ET",12.344,"Hou"
"PF","Meyers Leonard",3300,"Hou@Por 09:00PM ET",13.313,"Por"
"PG","Austin Rivers",3300,"LAC@Ind 06:00PM ET",14.044,"LAC"
"C","Timofey Mozgov",3300,"Atl@LAL 09:30PM ET",17.500,"LAL"
"PG","Isaiah Whitehead",3200,"Sac@Bkn 06:00PM ET",14.273,"Bkn"
"SF/PF","Jeff Green",3200,"Mil@Orl 06:00PM ET",15.281,"Orl"
"SF/PF","Dante Cunningham",3200,"NO@Dal 07:00PM ET",14.317,"NO"
"C","Salah Mejri",3200,"NO@Dal 07:00PM ET",10.333,"Dal"
"SG","Arron Afflalo",3100,"Sac@Bkn 06:00PM ET",15.063,"Sac"
"SG","Buddy Hield",3100,"NO@Dal 07:00PM ET",13.191,"NO"
"PG/SG","Garrett Temple",3000,"Sac@Bkn 06:00PM ET",14.188,"Sac"
"PG","Randy Foye",3000,"Sac@Bkn 06:00PM ET",11.972,"Bkn"
"PG","Yogi Ferrell",3000,"Sac@Bkn 06:00PM ET",11.031,"Bkn"
"SG","Ben McLemore",3000,"Sac@Bkn 06:00PM ET",9.946,"Sac"
"SG","Caris LeVert",3000,"Sac@Bkn 06:00PM ET",0,"Bkn"
"SG","Malachi Richardson",3000,"Sac@Bkn 06:00PM ET",1.750,"Sac"
"SF","Anthony Tolliver",3000,"Sac@Bkn 06:00PM ET",6.375,"Sac"
"SF","Omri Casspi",3000,"Sac@Bkn 06:00PM ET",10.893,"Sac"
"SF","Anthony Bennett",3000,"Sac@Bkn 06:00PM ET",10.250,"Bkn"
"PF/C","Luis Scola",3000,"Sac@Bkn 06:00PM ET",13.250,"Bkn"
"PF","Chris McCullough",3000,"Sac@Bkn 06:00PM ET",6.536,"Bkn"
"PF","Skal Labissiere",3000,"Sac@Bkn 06:00PM ET",11.750,"Sac"
"C","Kosta Koufos",3000,"Sac@Bkn 06:00PM ET",15.719,"Sac"
"C","Willie Cauley-Stein",3000,"Sac@Bkn 06:00PM ET",9.125,"Sac"
"C","Georgios Papagiannis",3000,"Sac@Bkn 06:00PM ET",2.750,"Sac"
"PG","Jason Terry",3000,"Mil@Orl 06:00PM ET",9.111,"Mil"
"PG","C.J. Watson",3000,"Mil@Orl 06:00PM ET",6.865,"Orl"
"SG/SF","Mario Hezonja",3000,"Mil@Orl 06:00PM ET",9.159,"Orl"
"SG","Jodie Meeks",3000,"Mil@Orl 06:00PM ET",0,"Orl"
"SG","C.J. Wilcox",3000,"Mil@Orl 06:00PM ET",2.833,"Orl"
"SG","Khris Middleton",3000,"Mil@Orl 06:00PM ET",0,"Mil"
"SG","Malcolm Brogdon",3000,"Mil@Orl 06:00PM ET",15.321,"Mil"
"SG","Rashad Vaughn",3000,"Mil@Orl 06:00PM ET",10.417,"Mil"
"SF","Steve Novak",3000,"Mil@Orl 06:00PM ET",0.000,"Mil"
"SF","Damjan Rudez",3000,"Mil@Orl 06:00PM ET",4.583,"Orl"
"PF","Arinze Onuaku",3000,"Mil@Orl 06:00PM ET",1.625,"Orl"
"PF","Mirza Teletovic",3000,"Mil@Orl 06:00PM ET",11.571,"Mil"
"PF","Stephen Zimmerman Jr.",3000,"Mil@Orl 06:00PM ET",4.250,"Orl"
"PF","Thon Maker",3000,"Mil@Orl 06:00PM ET",4.688,"Mil"
"C","Miles Plumlee",3000,"Mil@Orl 06:00PM ET",9.821,"Mil"
"PG","Devin Harris",3000,"NO@Dal 07:00PM ET",0,"Dal"
