Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Golden State Warriors,27.5,25,4,13.28,-1.28,12,114.1,100.9,99.4,0.276,0.347,0.59,0.558,14.2,26.2,0.208,0.463,13.3,75.4,0.202,Oracle Arena,274344
2,San Antonio Spurs,30.6,28,4,13.09,-1.52,11.58,108.7,94.7,93.6,0.225,0.229,0.56,0.526,13.4,23.8,0.177,0.458,13.9,80.6,0.171,AT&amp;T Center,313108
3,Oklahoma City Thunder,26,23,8,8.26,-0.9,7.36,111.3,102.8,96,0.289,0.248,0.561,0.519,14.1,30.5,0.228,0.474,12.6,75.6,0.194,Chesapeake Energy Arena,327654
4,Boston Celtics,25.6,20,11,4.42,0.68,5.1,104.2,99.7,98.3,0.247,0.311,0.527,0.488,13.5,24.5,0.192,0.472,15.5,75,0.235,TD Garden,288897
5,Indiana Pacers,27.5,18,11,3.97,0.28,4.25,105.4,101.3,97.1,0.278,0.289,0.537,0.498,13.5,23.4,0.209,0.491,15,75.5,0.187,Bankers Life Fieldhouse,229200
6,Cleveland Cavaliers,29,18,10,4.57,-0.78,3.79,106,101.1,93.2,0.267,0.33,0.538,0.504,13.5,24.8,0.195,0.479,12.9,79.2,0.205,Quicken Loans Arena,287868
7,Toronto Raptors,26.8,20,11,3.74,-0.25,3.5,106.7,102.8,93.5,0.322,0.285,0.541,0.49,13.1,24.2,0.255,0.486,13.8,78,0.209,Air Canada Centre,278263
8,Charlotte Hornets,25.9,17,12,2.83,0.38,3.21,105,102.1,96.2,0.284,0.346,0.54,0.498,12.3,19.6,0.22,0.489,13.1,79.9,0.187,Time Warner Cable Arena,287204
9,Atlanta Hawks,28.2,18,14,2.03,0.51,2.54,105.8,103.7,96.3,0.253,0.313,0.555,0.515,13.6,19.7,0.202,0.496,15.3,74,0.189,Philips Arena,294286
10,Miami Heat,28.3,17,12,2.1,-0.02,2.08,104,101.7,92.9,0.3,0.251,0.543,0.504,13.5,21.6,0.22,0.476,12.7,78,0.178,AmericanAirlines Arena,373758
11,Los Angeles Clippers,29.2,17,14,1.65,-0.1,1.54,106,104.3,96.3,0.338,0.289,0.541,0.507,12.5,21.4,0.23,0.48,13.5,74.1,0.234,STAPLES Center,306430
12,Chicago Bulls,27.9,15,13,0.86,0.46,1.32,102,101.1,96.8,0.252,0.248,0.512,0.473,12.9,24.4,0.192,0.459,11.1,74.9,0.175,United Center,345818
13,Utah Jazz,24.3,14,14,-0.39,1.66,1.27,105.4,105.8,91.6,0.298,0.266,0.531,0.489,13.9,26.6,0.223,0.502,14.5,76.8,0.251,EnergySolutions Arena,271975
14,Orlando Magic,24,17,13,2.07,-0.85,1.22,104.8,102.7,95,0.221,0.253,0.531,0.498,13.3,24.4,0.169,0.492,14.7,76.8,0.224,Amway Center,276652
15,Detroit Pistons,25.2,17,14,1.19,-0.23,0.97,103.4,102.2,95.5,0.288,0.291,0.505,0.474,12.5,28.4,0.189,0.494,14.3,77.3,0.191,The Palace of Auburn Hills,236441
